time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
501733,-0.02,-0.21,1.00,2.62,-1.77,0.79
501749,0.06,-0.08,1.00,3.05,-1.59,3.72
501765,0.10,-0.13,1.00,4.70,-1.28,10.01
501781,0.09,-0.20,1.00,2.44,-1.04,28.56
501797,0.04,-0.23,1.01,-0.61,-1.65,39.49
501813,0.01,-0.23,1.01,-1.59,-1.89,40.34
501829,-0.06,-0.19,1.01,-2.93,-2.08,32.96
501845,-0.10,-0.08,1.00,-0.79,-2.01,15.99
501861,-0.09,-0.03,1.00,0.61,-2.01,4.27
501877,0.01,-0.04,1.00,4.39,-1.95,-8.67
501893,0.07,-0.11,1.00,4.33,-1.83,-0.79
501909,0.07,-0.14,1.00,2.81,-1.77,6.23
501925,0.02,-0.14,1.00,-0.49,-1.95,14.22
501941,-0.04,-0.07,1.01,-1.28,-1.89,10.50
501957,-0.02,-0.07,1.00,-0.79,-1.83,6.65
501973,0.01,-0.03,1.01,5.62,-1.46,0.12
501989,-0.01,-0.05,1.01,5.00,-1.46,-0.24
502005,0.00,-0.08,1.00,3.91,-1.34,0.55
502021,0.01,-0.12,1.00,2.14,-1.40,2.75
502037,-0.01,-0.09,1.00,-0.37,-1.83,-0.12
502053,-0.02,-0.08,1.01,-0.37,-2.14,-2.14
502069,0.00,-0.02,1.01,-0.31,-2.26,-7.26
502085,0.00,-0.02,0.99,5.62,-1.95,-12.57
502101,0.02,-0.00,1.01,3.54,-2.14,-15.14
502117,0.02,-0.02,1.00,1.71,-2.01,-14.89
502133,-0.03,0.03,1.00,-2.01,-2.62,-9.83
502149,-0.02,0.03,0.99,-2.08,-2.01,-9.03
502165,-0.00,0.03,0.99,10.50,-1.53,-7.51
502181,0.02,0.09,1.01,6.47,-1.46,-11.96
502197,0.00,0.10,1.00,-0.92,-1.83,-14.71
502213,0.01,0.08,1.00,-0.12,-2.56,-16.54
502229,-0.01,0.12,1.00,-0.37,-2.81,-16.48
502245,-0.00,0.12,1.00,-1.16,-2.99,-16.78
502261,-0.00,0.16,1.00,-0.18,-2.93,-16.54
502277,-0.05,0.24,1.00,2.99,-2.56,-17.82
502293,-0.03,0.25,1.00,0.31,-2.32,-18.19
502309,-0.04,0.29,1.00,2.20,-2.26,-13.18
502325,-0.04,0.35,1.00,2.44,-2.26,-7.08
502341,-0.03,0.37,1.00,2.69,-2.08,-5.62
502357,0.10,0.23,1.01,2.93,-1.89,-3.11
502373,-0.12,0.14,1.00,-1.40,-2.26,-1.59
502389,-0.07,0.14,1.00,-1.77,-2.44,-8.54
502405,-0.04,0.24,1.00,1.65,-2.44,-19.78
502421,-0.05,0.34,1.00,1.59,-2.20,-24.48
502437,-0.02,0.35,1.00,3.30,-1.95,-23.38
502453,0.02,0.34,0.99,4.94,-1.71,-13.24
502469,0.03,0.32,1.00,4.27,-1.34,2.99
502485,0.03,0.31,0.99,2.87,-1.28,10.31
502501,0.05,0.26,1.00,3.05,-0.73,18.01
502517,0.03,0.21,1.01,2.81,-0.85,19.96
502533,0.00,0.18,1.00,0.18,-0.85,19.53
502549,-0.04,0.15,1.00,2.56,-2.08,12.88
502565,-0.07,0.18,0.98,-2.14,-2.69,-0.18
502581,-0.04,0.16,0.98,-2.20,-2.44,-3.23
502597,-0.01,0.15,1.00,5.80,-1.16,-2.32
502613,-0.00,0.12,1.01,1.71,-2.87,-1.34
502629,-0.00,0.08,1.00,-0.55,-2.75,0.24
502645,-0.04,0.06,1.01,-2.99,-1.22,6.47
502661,-0.04,0.03,1.00,1.40,-1.77,12.33
502677,-0.03,-0.01,1.01,3.72,-1.83,14.59
502693,0.01,-0.04,1.01,3.91,-2.14,17.88
502709,0.02,-0.12,1.02,-6.10,-1.40,22.09
502725,0.04,-0.19,1.01,3.85,-1.04,21.12
502741,0.02,-0.17,1.01,5.74,-1.28,14.59
502757,-0.00,-0.11,1.00,4.27,-1.89,10.86
502773,-0.03,-0.12,1.01,-0.73,-1.83,1.77
502789,0.03,-0.10,1.01,0.85,-1.34,6.41
502805,0.05,-0.10,1.01,1.53,-1.34,14.34
502821,0.01,-0.22,1.00,-1.34,-1.59,23.19
502837,0.01,-0.29,1.01,5.00,-0.73,26.92
502853,0.04,-0.33,1.01,2.08,-0.73,28.02
502869,0.08,-0.40,1.01,1.53,-1.46,25.57
502885,0.05,-0.45,1.01,-0.92,-1.95,16.60
502901,0.05,-0.47,1.01,-2.56,-2.26,10.50
502917,-0.01,-0.43,1.01,-0.92,-2.01,-0.92
502933,0.01,-0.03,1.01,4.88,-1.53,1.28
502949,0.01,-0.11,1.00,2.38,-1.34,5.07
502965,0.01,-0.21,1.01,7.26,-0.61,15.99
502981,0.07,-0.29,1.01,2.20,-1.10,27.53
502997,0.08,-0.33,1.01,2.81,-0.67,30.64
503013,0.04,-0.34,1.01,0.43,-1.10,28.63
503029,-0.00,-0.26,1.01,-1.83,-2.14,14.10
503045,0.01,-0.25,1.00,-2.44,-2.20,4.15
503061,0.01,-0.20,1.01,1.89,-2.69,-13.79
503077,0.03,-0.18,1.01,4.33,-2.01,-23.13
503093,0.02,-0.16,1.01,4.94,-1.77,-23.99
503109,-0.02,-0.11,1.00,0.18,-2.81,-23.50
503125,-0.00,-0.01,1.01,-1.16,-3.66,-20.20
503141,0.02,0.02,1.00,-1.10,-2.87,-16.54
503157,0.03,-0.00,0.99,3.72,-1.89,-3.78
503173,0.03,-0.07,1.00,4.21,-1.65,9.16
503189,-0.00,-0.07,1.00,2.50,-1.53,13.00
503205,-0.04,-0.01,1.00,-3.66,-2.44,12.76
503221,-0.01,0.03,1.00,-0.06,-1.53,7.20
503237,0.00,0.08,1.00,2.44,-1.22,6.23
503253,-0.01,0.02,1.01,6.71,-1.16,7.57
503269,-0.02,-0.04,1.01,4.64,-1.53,4.76
503285,-0.04,-0.00,1.01,2.75,-1.83,2.01
503301,-0.06,0.02,1.00,0.00,-2.50,-4.46
503317,-0.04,0.05,1.01,0.85,-2.81,-9.52
503333,-0.01,0.05,0.98,-2.01,-2.44,-11.35
503349,0.01,0.06,1.01,2.69,-2.44,-9.83
503365,-0.01,0.05,1.01,0.12,-2.20,-6.23
503381,-0.03,0.06,1.01,-5.00,-2.01,-5.86
503397,-0.04,0.07,0.96,-2.93,-1.83,-10.80
503413,-0.01,0.19,1.01,13.12,-1.71,-20.94
503429,0.02,0.22,1.02,12.94,-1.77,-23.99
503445,0.03,0.22,1.00,2.99,-2.32,-18.43
503461,-0.00,0.17,1.01,0.24,-2.26,-5.80
503477,-0.01,0.14,1.00,-1.95,-2.26,-3.05
503493,-0.06,0.18,1.00,-0.92,-2.50,-6.84
503509,-0.03,0.28,1.01,0.31,-2.62,-18.43
503525,-0.04,0.34,0.99,2.38,-2.50,-19.90
503541,0.02,0.41,0.99,1.46,-2.20,-14.53
503557,0.01,0.17,1.00,0.67,-1.95,-3.23
503573,-0.09,0.15,0.99,-2.20,-1.83,-1.95
503589,-0.04,0.22,1.00,2.32,-2.20,-12.45
503605,-0.00,0.27,1.00,0.98,-2.08,-13.37
503621,-0.00,0.30,1.00,1.71,-1.89,-11.96
503637,0.01,0.31,1.00,4.76,-1.65,-9.70
503653,0.02,0.31,1.00,5.49,-1.53,-3.97
503669,0.02,0.29,1.00,4.33,-1.46,0.24
503685,0.02,0.22,1.00,0.67,-1.34,10.56
503701,-0.00,0.21,1.00,1.59,-1.95,19.29
503717,-0.04,0.19,1.01,1.16,-2.38,20.39
503733,-0.03,0.14,0.99,-4.33,-2.56,20.69
503749,-0.02,0.12,0.98,4.46,-1.22,21.30
503765,-0.01,0.09,1.01,5.98,-0.92,21.30
503781,0.01,0.02,1.00,5.31,-1.53,18.98
503797,0.02,-0.01,1.00,3.17,-2.08,14.47
503813,0.02,-0.06,1.01,-0.43,-1.95,11.84
503829,-0.03,0.00,1.00,-2.81,-1.95,4.33
