time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
91733,0.06,0.24,1.00,3.30,-2.08,7.57
91749,-0.01,0.24,1.00,0.37,-1.53,14.71
91765,-0.06,0.22,1.00,-1.04,-2.08,19.29
91781,-0.07,0.20,1.00,-0.31,-2.01,22.77
91797,-0.05,0.14,1.00,0.06,-1.53,28.63
91813,-0.05,0.10,1.00,0.37,-1.28,31.43
91829,-0.04,0.09,1.00,2.08,-0.67,31.43
91845,-0.05,0.06,1.00,2.14,-1.46,29.42
91861,-0.07,0.05,1.00,1.40,-1.40,25.27
91877,-0.09,0.05,1.00,1.10,-1.77,23.50
91893,-0.11,0.05,1.00,1.89,-2.26,21.18
91909,-0.12,0.04,1.00,3.11,-1.77,19.29
91925,-0.12,0.04,1.00,2.87,-1.65,18.49
91941,-0.13,0.02,1.00,1.16,-1.22,13.98
91957,-0.12,0.01,1.00,2.50,-0.85,10.13
91973,-0.13,0.03,1.00,2.32,-1.16,8.67
91989,-0.13,0.03,1.01,1.53,-1.46,7.51
92005,-0.14,0.04,1.00,1.83,-1.83,4.15
92021,-0.13,0.04,1.00,2.44,-2.01,2.44
92037,-0.12,0.04,1.00,1.46,-2.14,1.10
92053,-0.12,0.06,1.00,1.83,-2.26,0.31
92069,-0.11,0.07,1.00,2.75,-2.01,0.06
92085,-0.10,0.06,1.00,1.59,-2.20,3.78
92101,-0.10,0.04,1.00,0.43,-2.50,10.01
92117,-0.10,0.03,1.00,0.49,-2.44,12.82
92133,-0.10,0.04,1.00,3.48,-2.01,13.73
92149,-0.09,0.05,1.00,4.46,-1.65,12.82
92165,-0.08,0.03,1.00,3.30,-1.34,14.71
92181,-0.09,-0.01,1.00,0.67,-1.71,19.59
92197,-0.10,-0.02,1.01,0.92,-1.53,22.46
92213,-0.11,-0.04,1.00,-0.67,-1.16,22.28
92229,-0.10,-0.09,1.01,0.92,-0.73,20.45
92245,-0.08,-0.10,1.00,2.69,-0.61,17.33
92261,-0.05,-0.11,1.00,2.50,-0.98,16.17
92277,-0.05,-0.14,1.01,0.24,-0.98,12.15
92293,-0.06,-0.17,1.01,-0.67,-1.77,9.52
92309,-0.12,-0.18,1.01,0.92,-1.28,8.97
92325,-0.11,-0.23,1.01,0.85,-1.04,9.70
92341,-0.06,-0.24,1.01,1.83,-1.40,10.44
92357,-0.03,-0.23,1.00,-0.73,-2.14,10.13
92373,-0.01,-0.26,1.01,0.67,-1.40,7.08
92389,-0.01,-0.26,1.01,2.26,-2.01,6.71
92405,0.02,-0.26,1.00,-0.12,-0.98,7.14
92421,0.04,-0.24,1.00,2.75,-1.28,1.77
92437,0.03,-0.20,1.01,2.62,-1.16,-2.75
92453,0.03,-0.18,1.00,0.79,-1.22,-11.41
92469,0.07,-0.18,1.00,1.77,-2.20,-14.34
92485,0.07,-0.18,1.01,3.48,-1.77,-13.61
92501,0.08,-0.21,1.00,2.81,-2.20,-9.34
92517,0.12,-0.20,1.00,1.77,-2.14,-5.62
92533,0.14,-0.17,1.01,2.20,-1.83,-6.77
92549,0.18,-0.12,1.00,-0.61,-1.83,-14.89
92565,0.16,-0.05,1.01,-1.04,-2.32,-25.76
92581,0.13,-0.04,1.00,0.67,-2.56,-29.60
92597,0.14,-0.02,1.02,10.93,-1.71,-28.26
92613,0.16,-0.03,1.00,-0.85,-1.89,-20.14
