time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
70022,-0.05,0.18,1.21,6.90,-18.98,-2.50
70037,-0.03,0.19,1.23,2.56,-12.57,-2.99
70053,-0.03,0.19,1.26,1.77,-9.83,-2.20
70069,-0.02,0.19,1.30,-3.17,-8.30,0.73
70085,-0.03,0.17,1.29,-6.84,-12.33,2.01
70101,-0.03,0.17,1.28,-5.68,-14.95,2.75
70117,-0.06,0.18,1.27,0.85,-23.19,3.91
70133,-0.06,0.18,1.27,7.81,-30.58,5.49
70149,-0.02,0.17,1.25,8.91,-33.45,6.53
70165,-0.02,0.17,1.23,8.85,-36.19,9.40
70181,-0.02,0.16,1.21,-0.43,-35.22,9.95
70197,-0.01,0.15,1.16,-7.02,-33.94,8.48
70213,0.00,0.15,1.10,-15.26,-30.52,4.64
70229,0.01,0.15,1.08,-11.96,-28.99,3.48
70245,0.06,0.15,1.07,-4.70,-28.32,5.07
70261,0.05,0.14,1.10,9.40,-29.17,10.93
70277,0.05,0.13,1.12,11.23,-30.09,14.04
70293,0.02,0.11,1.14,5.37,-31.80,17.09
70309,0.02,0.10,1.11,-6.35,-34.73,13.92
70325,0.02,0.10,1.07,-8.61,-38.33,11.54
70341,0.04,0.10,1.01,-0.12,-45.41,10.80
70357,0.03,0.10,1.00,12.45,-49.44,15.56
70373,0.02,0.12,1.02,15.93,-49.26,18.55
70389,0.00,0.10,1.01,4.33,-48.95,19.71
70405,0.03,0.06,0.93,-12.39,-49.93,18.55
70421,0.04,0.04,0.88,-16.97,-49.68,17.40
70437,0.07,0.02,0.79,-14.59,-48.34,14.28
70453,0.08,0.02,0.76,-0.98,-52.25,14.28
70469,0.09,0.03,0.74,5.86,-53.65,15.01
70485,0.10,0.05,0.71,13.06,-53.96,16.48
70501,0.08,0.04,0.65,4.46,-52.12,17.09
70517,0.12,0.02,0.60,-4.27,-49.80,16.54
70533,0.17,-0.02,0.51,-18.86,-41.81,13.06
70549,0.20,-0.05,0.45,-21.06,-28.44,8.18
70565,0.19,-0.05,0.44,-17.09,-22.09,5.43
70581,0.19,-0.02,0.47,-6.10,-12.15,-0.92
70597,0.18,0.01,0.52,-1.16,-3.91,-5.68
70613,0.19,0.02,0.54,-4.46,-1.04,-6.77
70629,0.18,0.02,0.55,-15.87,2.87,-6.71
70645,0.20,-0.00,0.55,-21.67,7.63,-5.74
70661,0.20,-0.01,0.55,-19.10,8.73,-5.13
70677,0.23,-0.02,0.58,-4.39,9.58,-4.33
70693,0.25,-0.01,0.61,9.22,8.61,-2.08
70709,0.26,-0.00,0.62,12.27,9.22,-0.12
70725,0.26,-0.00,0.67,9.58,15.63,0.98
70741,0.23,-0.01,0.72,0.61,26.61,-2.08
70757,0.21,-0.00,0.74,-2.44,31.19,-4.58
70773,0.20,0.03,0.78,0.31,36.50,-10.01
70789,0.19,0.08,0.84,7.02,35.58,-11.72
70805,0.18,0.10,0.87,7.39,33.94,-10.13
70821,0.14,0.11,0.91,5.55,34.24,-4.64
70837,0.09,0.10,0.93,3.72,34.36,-1.04
70853,0.08,0.10,0.94,4.15,32.96,-0.24
70869,0.12,0.09,0.95,4.94,28.02,0.92
70885,0.15,0.06,0.96,2.99,22.95,3.97
70901,0.16,0.05,0.97,1.83,22.34,5.31
70917,0.12,0.03,0.99,-1.04,24.72,5.98
70933,0.08,0.02,0.99,-1.89,27.89,4.27
70949,0.07,0.01,0.99,-0.24,28.26,3.54
70965,0.07,0.01,1.00,5.43,27.04,1.28
70981,0.10,0.02,1.02,9.28,25.76,-2.62
70997,0.10,0.04,1.03,8.91,26.18,-4.82
71013,0.09,0.07,1.05,3.91,31.19,-7.75
71029,0.05,0.11,1.10,4.64,39.67,-8.06
71045,0.02,0.12,1.12,5.13,42.36,-7.45
71061,0.02,0.12,1.18,7.39,42.24,-3.66
71077,0.06,0.10,1.21,3.66,37.11,-0.61
71093,0.06,0.09,1.21,0.73,34.73,-0.12
71109,0.04,0.06,1.21,-2.14,31.13,-2.01
71125,0.01,0.08,1.16,-8.67,25.94,-5.13
71141,0.00,0.11,1.23,13.00,24.23,-0.73
71157,-0.02,0.13,1.21,21.36,7.02,-2.81
71173,-0.01,0.14,1.21,23.50,4.64,-2.99
71189,-0.01,0.14,1.19,18.13,2.75,-1.53
71205,0.00,0.14,1.15,7.08,0.37,0.61
71221,-0.00,0.13,1.14,-3.36,-0.06,2.69
71237,-0.01,0.12,1.11,-8.97,-0.06,2.99
71253,0.01,0.08,1.05,-16.54,2.99,1.77
71269,0.04,0.07,1.04,-10.50,14.53,0.98
71285,0.01,0.08,1.07,-7.26,21.36,-0.12
71301,-0.02,0.08,1.11,-8.00,30.21,-2.14
71317,-0.03,0.08,1.14,-10.07,31.37,-1.40
71333,-0.03,0.06,1.18,-13.73,26.37,0.73
71349,-0.00,0.03,1.21,-7.57,17.09,0.06
71365,-0.01,0.03,1.25,0.67,11.72,-0.43
71381,0.01,0.07,1.35,13.18,4.88,-3.85
71397,-0.00,0.15,1.45,15.38,2.69,-7.39
71413,0.03,0.17,1.48,12.63,2.81,-8.54
71429,0.03,0.21,1.52,13.24,0.92,-5.80
71445,0.01,0.20,1.54,18.25,-1.34,3.85
71461,-0.02,0.19,1.56,19.90,-2.26,8.61
71477,-0.08,0.15,1.54,12.21,-5.19,11.54
71493,-0.09,0.14,1.47,-1.89,-10.50,4.88
71509,-0.08,0.15,1.42,-7.63,-13.85,-0.55
71525,-0.07,0.18,1.31,-8.73,-24.17,-7.14
71541,-0.04,0.20,1.25,0.85,-36.25,-3.17
71557,-0.05,0.20,1.22,4.88,-42.24,0.79
71573,-0.05,0.19,1.12,7.51,-50.72,9.03
71589,-0.04,0.14,1.03,5.86,-50.11,13.92
71605,-0.04,0.10,1.00,5.19,-45.96,15.32
71621,-0.03,0.06,0.98,4.21,-37.66,14.95
71637,-0.03,0.04,0.96,1.34,-34.85,9.83
71653,-0.03,0.05,0.95,2.01,-34.48,7.51
71669,-0.04,0.06,0.94,5.19,-35.64,4.27
71685,-0.00,0.07,0.92,9.03,-39.49,5.00
