time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
220022,0.01,0.10,0.68,-0.31,-40.16,4.03
220037,0.00,0.08,0.64,0.12,-41.26,5.00
220053,-0.00,0.07,0.58,4.09,-38.02,6.65
220069,0.01,0.08,0.54,5.19,-31.86,5.13
220085,0.03,0.09,0.52,5.00,-28.99,4.21
220101,0.06,0.09,0.49,2.08,-24.05,1.83
220117,0.09,0.09,0.49,-3.60,-17.94,0.00
220133,0.10,0.08,0.51,-6.71,-13.06,0.49
220149,0.08,0.05,0.55,-14.28,-2.62,2.32
220165,0.06,0.04,0.55,-13.00,-0.24,0.49
220181,0.07,0.05,0.56,-7.39,-2.14,-1.46
220197,0.10,0.07,0.62,0.49,-3.85,-0.98
220213,0.10,0.06,0.67,-6.65,-0.12,2.69
220229,0.08,0.05,0.69,-13.37,2.20,2.87
220245,0.03,0.03,0.72,-22.40,3.23,0.24
220261,-0.01,0.03,0.75,-23.25,-0.24,-6.47
220277,-0.00,0.04,0.76,-21.36,-0.49,-10.01
220293,0.06,0.07,0.76,-11.78,3.23,-13.06
220309,0.10,0.06,0.78,1.28,12.51,-4.82
220325,0.11,0.06,0.82,6.65,17.70,1.77
220341,0.04,0.07,0.92,7.14,27.28,8.48
220357,-0.01,0.08,0.99,-7.02,31.80,2.38
220373,-0.01,0.10,1.01,-15.81,33.33,-3.97
220389,0.02,0.10,1.02,-27.77,35.34,-13.73
220405,0.03,0.10,1.02,-23.01,35.77,-11.29
220421,0.03,0.10,1.03,-16.97,35.34,-6.10
220437,-0.01,0.08,1.04,-5.98,34.61,6.35
220453,-0.05,0.07,1.07,0.00,35.10,13.98
220469,-0.06,0.07,1.10,-1.04,35.83,13.98
220485,-0.08,0.05,1.13,-11.05,37.66,11.54
220501,-0.10,0.01,1.11,-13.55,36.25,8.91
220517,-0.09,0.00,1.12,-7.14,34.24,8.54
220533,-0.08,-0.02,1.09,8.12,29.79,12.39
220549,-0.07,-0.00,1.14,23.86,27.71,19.23
220565,-0.12,-0.03,1.05,20.08,26.61,18.55
220581,-0.10,0.02,1.21,39.37,19.90,18.55
220597,-0.15,-0.00,1.12,28.50,9.95,6.53
220613,-0.12,0.00,1.08,25.39,10.31,0.24
220629,-0.15,0.07,1.08,37.60,13.49,-2.44
