time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
510022,0.07,-0.30,1.01,2.62,-1.22,28.20
510037,0.06,-0.31,1.01,-0.31,-1.46,14.71
510053,0.02,-0.24,1.01,0.55,-1.83,4.94
510069,0.02,-0.16,1.01,2.62,-2.20,-6.47
510085,0.02,-0.16,1.01,2.93,-1.89,-6.59
510101,0.05,-0.19,1.01,3.85,-1.83,-4.58
510117,0.04,-0.07,1.00,3.11,-1.59,1.83
510133,-0.02,-0.07,1.00,3.78,-1.34,10.68
510149,0.01,-0.13,1.01,3.42,-1.16,17.88
510165,0.03,-0.22,1.01,1.04,-0.98,30.52
510181,-0.01,-0.25,1.01,0.18,-1.28,33.33
510197,0.04,-0.29,1.00,0.55,-0.98,28.93
510213,0.02,-0.26,1.01,1.65,-1.71,14.10
510229,0.01,-0.25,1.01,0.24,-2.01,5.37
510245,0.03,-0.24,1.01,2.14,-2.44,-9.03
510261,0.02,-0.20,1.01,0.06,-2.75,-18.92
510277,0.01,-0.17,1.01,-0.06,-2.38,-22.28
510293,-0.00,-0.12,1.00,-1.16,-2.44,-24.90
510309,-0.00,-0.10,1.00,2.50,-2.81,-21.12
510325,-0.01,-0.07,1.01,5.55,-2.69,-18.86
510341,-0.02,-0.05,1.00,0.00,-2.38,-15.56
510357,-0.01,-0.03,1.01,-3.42,-2.50,-9.40
510373,-0.02,-0.02,1.00,-1.83,-1.95,-7.26
510389,-0.01,0.06,0.98,0.00,-1.34,-3.66
510405,-0.05,0.00,1.00,7.45,-2.08,4.09
510421,-0.03,-0.02,1.01,5.49,-2.14,6.23
510437,-0.03,-0.04,1.00,0.06,-2.32,7.02
510453,-0.08,-0.01,1.02,0.12,-2.32,-7.87
510469,-0.03,0.01,1.01,-5.25,-2.62,-17.15
510485,-0.01,-0.02,1.00,3.23,-1.95,-21.91
510501,-0.01,0.02,1.01,2.87,-1.71,-19.35
510517,0.00,0.00,1.01,-2.01,-1.65,-17.70
510533,-0.03,-0.01,0.99,-4.46,-2.01,-15.20
510549,-0.04,0.06,0.98,3.30,-1.46,-24.17
510565,-0.01,0.08,0.99,6.59,-1.71,-28.02
510581,0.02,0.16,1.02,7.93,-1.83,-26.67
510597,-0.00,0.20,1.00,-1.95,-2.69,-20.32
510613,-0.00,0.19,1.00,-3.23,-2.56,-17.03
