time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
101829,0.01,0.01,1.00,1.65,-1.89,2.14
101845,0.01,0.01,1.00,1.59,-1.95,2.14
101861,0.01,0.01,1.00,1.53,-1.89,2.08
101877,0.01,0.01,1.00,1.65,-1.95,2.14
101893,0.01,0.01,1.00,1.65,-1.95,2.14
101909,0.01,0.01,1.01,1.59,-1.77,2.08
101925,0.01,0.01,1.00,1.65,-1.89,2.08
101941,0.01,0.01,1.00,1.59,-1.89,2.08
101957,0.01,0.01,1.00,1.59,-1.95,2.08
101973,0.01,0.01,1.00,1.59,-1.95,2.08
101989,0.01,0.01,1.00,1.71,-1.95,2.14
102005,0.01,0.01,1.00,1.71,-1.83,2.14
102021,0.01,0.01,1.00,1.65,-1.89,2.20
102037,0.01,0.01,1.00,1.65,-1.89,2.20
102053,0.01,0.00,1.00,1.65,-1.83,2.08
102069,0.01,0.00,1.00,1.65,-1.83,2.14
102085,0.01,0.01,1.00,1.65,-1.89,2.08
102101,0.01,0.01,1.00,1.59,-1.83,2.26
102117,0.01,0.01,1.00,1.59,-1.83,2.14
102133,0.01,0.01,1.00,1.65,-1.89,2.14
102149,0.01,0.01,1.00,1.65,-1.89,2.20
102165,0.01,0.01,1.00,1.65,-1.89,2.14
102181,0.01,0.01,1.00,1.65,-1.83,2.08
102197,0.01,0.01,1.00,1.65,-1.95,2.08
102213,0.01,0.01,1.00,1.65,-1.89,2.20
102229,0.01,0.01,1.00,1.65,-1.95,2.20
102245,0.01,0.01,1.00,1.59,-1.89,2.14
102261,0.01,0.01,1.00,1.65,-1.95,2.14
102277,0.01,0.01,1.00,1.65,-1.83,2.08
102293,0.01,0.01,1.00,1.59,-1.89,2.14
102309,0.01,0.01,1.00,1.59,-1.89,2.14
102325,0.01,0.01,1.00,1.65,-1.89,2.08
102341,0.01,0.01,1.00,1.65,-1.83,2.14
102357,0.00,0.01,1.00,1.65,-1.83,2.08
102373,0.01,0.01,1.00,1.65,-1.95,2.14
102389,0.01,0.01,1.00,1.65,-1.89,2.14
102405,0.01,0.01,1.00,1.59,-1.95,2.14
102421,0.01,0.01,1.00,1.65,-1.89,2.14
102437,0.01,0.00,1.01,1.65,-1.83,2.14
102453,0.01,0.01,1.00,1.59,-1.83,2.14
102469,0.01,0.01,1.00,1.53,-1.89,2.14
102485,0.01,0.01,1.00,1.65,-1.89,2.20
102501,0.01,0.01,1.00,1.65,-1.89,2.20
102517,0.01,0.01,1.00,1.65,-1.89,2.14
102533,0.01,0.01,1.01,1.59,-1.89,2.08
102549,0.01,0.00,1.00,1.53,-1.89,2.14
102565,0.01,0.00,1.00,1.65,-1.89,2.20
102581,0.01,0.00,1.00,1.65,-1.89,2.08
102597,0.01,0.01,1.00,1.59,-1.89,2.14
102613,0.01,0.01,1.00,1.65,-1.89,2.08
102629,0.01,0.01,1.00,1.59,-1.95,2.08
102645,0.01,0.01,1.00,1.65,-1.89,2.08
102661,0.01,0.01,1.00,1.59,-1.95,2.14
102677,0.01,0.01,1.00,1.71,-1.89,2.08
102693,0.01,0.01,1.00,1.65,-1.89,2.20
102709,0.01,0.00,1.01,1.59,-1.83,2.08
102725,0.01,0.00,1.00,1.65,-1.77,2.20
102741,0.01,0.01,1.00,1.65,-1.89,2.08
