timestamp,ch6,ch5,ch4,ch3,ch2,ch1,ch0,temp,humi
810,4728332,1977688,551187,3803869,8147017,8149181,7367554,32.994278,87.328908
820,4729406,1977777,551173,3803407,8146826,8149269,7338810,32.913710,87.405203
830,4730195,1977878,551199,3803668,8146740,8149203,7326080,32.994278,87.463188
840,4731116,1977887,551238,3803690,8146806,8149370,7347484,32.974136,87.534905
850,4732152,1977821,551290,3803581,8146913,8149408,7379585,32.994278,87.585260
860,4733096,1977863,551264,3803201,8146834,8149087,7382135,32.994278,87.621881
870,4733783,1977909,551255,3803371,8146724,8149073,7395927,32.953994,87.727169
880,4735008,1978047,551261,3803220,8146633,8148641,7410788,33.014420,87.794308
890,4735924,1978113,551355,3802903,8146642,8148821,7417702,32.994278,87.804990
900,4737022,1978303,551316,3802808,8146704,8148639,7390880,32.994278,87.914855
910,4738027,1978426,551402,3802937,8146726,8148961,7384742,33.014420,87.940795
920,4738917,1978509,551437,3802980,8146601,8148813,7393771,32.974136,88.010986
930,4739919,1978564,551459,3803067,8146840,8148984,7379774,33.034562,88.090333
940,4740967,1978606,551531,3803095,8146479,8148807,7391867,33.014420,88.123903
950,4741674,1978540,551525,3803211,8146733,8149020,7402157,32.974136,88.181888
960,4742902,1978857,551518,3803031,8146636,8148751,7407474,33.034562,88.273442
970,4743602,1978985,551555,3803443,8146638,8148843,7409506,32.974136,88.316167
980,4744603,1979029,551705,3803349,8146577,8148909,7412514,32.974136,88.352789
990,4745516,1979182,551570,3803374,8146726,8148807,7380317,33.135271,88.455024
1000,4746351,1979205,551644,3803409,8146573,8149041,7345062,33.054704,88.494697
1010,4747231,1979407,551688,3803530,8146762,8148729,7330876,33.014420,88.526741
1020,4748325,1979537,551706,3803663,8146837,8149015,7348168,33.014420,88.587778
1030,4749478,1979704,551840,3803668,8146650,8148968,7360977,32.994278,88.635080
1040,4750498,1979821,551762,3804022,8146790,8149219,7377310,33.034562,88.712902
1050,4751510,1979925,551802,3804118,8146619,8148685,7370358,33.155413,88.751049
1060,4752257,1979903,551825,3804205,8146590,8149096,7365532,33.014420,88.807507
1070,4753153,1980104,551816,3804237,8146932,8149265,7367334,33.034562,88.871595
1080,4753915,1980188,551928,3804568,8146516,8149244,7342347,33.074846,88.961624
1090,4754871,1980273,551942,3804510,8146860,8149087,7328516,33.014420,88.941787
1100,4755810,1980402,551894,3804562,8146456,8147739,7356504,33.115129,89.027237
1110,4756660,1980437,551916,3804583,8146664,8147582,7381159,33.034562,89.103532
1120,4757619,1980738,551994,3804742,8146563,8147452,7396507,33.034562,89.140154
1130,4758501,1980893,551989,3804458,8146514,8147234,7393095,33.074846,89.169146
1140,4759632,1980971,552071,3804564,8146662,8146980,7363036,33.054704,89.214923
1150,4760525,1980981,552052,3805073,8146670,8147222,7329028,33.094987,89.268330
1160,4761308,1981122,552078,3804779,8146740,8147256,7312458,33.115129,89.320211
1170,4762427,1981328,552113,3804588,8146447,8147346,7305006,33.175555,89.375143
1180,4763098,1981255,552148,3805023,8146646,8147584,7308760,33.054704,89.434653
1190,4764254,1981307,552249,3804923,8146590,8147140,7348211,33.034562,89.457542
1200,4765159,1981358,552278,3804789,8146781,8147174,7368798,33.135271,89.492638
1210,4766148,1981542,552285,3804923,8146399,8147061,7390666,33.094987,89.561303
1220,4766955,1981682,552228,3805066,8146527,8147374,7407906,33.115129,89.588769
1230,4768082,1981839,552318,3805072,8146591,8147109,7418145,33.094987,89.658961
1240,4768942,1981885,552366,3805080,8146492,8146785,7402058,33.155413,89.703212
1250,4769739,1981938,552390,3804917,8146602,8147119,7373629,33.115129,89.735256
1260,4770689,1982082,552452,3805114,8146552,8147124,7370199,33.115129,89.820706
1270,4771341,1982237,552448,3805124,8146739,8147302,7392539,33.054704,89.825284
1280,4772300,1982481,552459,3804792,8146375,8146977,7404268,33.135271,89.871061
1290,4773195,1982405,552457,3804581,8146839,8147100,7405442,33.115129,89.893950
1300,4773939,1982594,552539,3804710,8146309,8146969,7378631,33.115129,89.954986
1310,4774992,1982539,552509,3805016,8146340,8147018,7344444,33.155413,90.045014
1320,4775836,1982647,552601,3804472,8146653,8147077,7315882,33.195697,90.060273
1330,4776981,1982687,552556,3804871,8146294,8146891,7314084,33.135271,90.090791
1340,4777438,1982790,552661,3805056,8146747,8147133,7326003,33.195697,90.157931
1350,4778605,1982866,552655,3804970,8146647,8147234,7339955,33.155413,90.191501
1360,4779463,1982914,552679,3804754,8146459,8147128,7325313,33.115129,90.211337
1370,4780308,1982890,552740,3805080,8146306,8146822,7318277,33.195697,90.243381
1380,4781223,1983127,552800,3804601,8146608,8147341,7336677,33.175555,90.302892
1390,4782153,1983360,552757,3804949,8146601,8147116,7329762,33.115129,90.357824
1400,4783147,1983535,552835,3804784,8146389,8146919,7308762,33.195697,90.426490
1410,4784004,1983470,552890,3804971,8146482,8147077,7298487,33.175555,90.437171
1420,4784705,1983673,552826,3805279,8146530,8146999,7312270,33.175555,90.522621
1430,4785629,1983657,552842,3804993,8146524,8146998,7340006,33.115129,90.516518
1440,4786185,1983944,552932,3805029,8146262,8146890,7366575,33.235981,90.577554
1450,4787135,1983898,552969,3804936,8146371,8146815,7372848,33.155413,90.569924
1460,4788026,1984021,553033,3805125,8146316,8146899,7384001,33.215839,90.600443
1470,4789052,1984096,553099,3805519,8146519,8147044,7383704,33.175555,90.656901
1480,4789836,1984086,553073,3804943,8146352,8146672,7376394,33.195697,90.682841
1490,4790824,1984317,553121,3805149,8146421,8146758,7369799,33.215839,90.746929
1500,4791574,1984370,553136,3805295,8146094,8146622,7340835,33.175555,90.742351
1510,4792330,1984499,553147,3805536,8146498,8146718,7314308,33.155413,90.801862
1520,4793463,1984622,553267,3805591,8146357,8146658,7302527,33.175555,90.815595
1530,4794181,1984621,553188,3805603,8146417,8146861,7290979,33.155413,90.862898
1540,4795155,1984983,553247,3805647,8146395,8146966,7301581,33.155413,90.923934
1550,4795922,1985110,553290,3805462,8146229,8146963,7327875,33.155413,90.887312
1560,4797023,1985386,553289,3805314,8146472,8146891,7359498,33.175555,90.998703
1570,4797604,1985201,553329,3805350,8146620,8147204,7360630,33.235981,90.992599
1580,4798405,1985273,553397,3805163,8146416,8146842,7376108,33.215839,91.052110
1590,4799201,1985319,553357,3805056,8146128,8146773,7367760,33.175555,91.071946
1600,4800043,1985478,553424,3804927,8146160,8146866,7341281,33.235981,91.090257
1610,4800868,1985601,553407,3804921,8146215,8146921,7323910,33.195697,91.134508
1620,4801504,1985510,553470,3804911,8146371,8146944,7303273,33.215839,91.210803
1630,4802358,1985603,553485,3805199,8146422,8147170,7288383,33.195697,91.195544
1640,4803298,1985460,553570,3805091,8146381,8147156,7283068,33.135271,91.226062
1650,4804022,1985527,553580,3805169,8146397,8146708,7296225,33.195697,91.280995
1660,4804895,1985659,553607,3804831,8146292,8146851,7310116,33.195697,91.305409
1670,4805657,1985560,553656,3804778,8146435,8146933,7354253,33.195697,91.354238
1680,4806428,1985676,553654,3805054,8146200,8146919,7385716,33.175555,91.389334
1690,4807295,1986138,553684,3804954,8146313,8147024,7390438,33.215839,91.418326
1700,4808082,1986010,553766,3804814,8146566,8147005,7379829,33.256123,91.435111
1710,4808737,1985942,553754,3805035,8146284,8146986,7343742,33.215839,91.467155
1720,4809324,1986131,553832,3804917,8146569,8147213,7314359,33.296407,91.500725
1730,4810361,1986214,553884,3804984,8146298,8147208,7291573,33.235981,91.517510
